Image_Name,Image_Path,Plate_Detected,Detected_Text,x1,y1,x2,y2,Processed_Image_Path,Processing_Time,Confidence_Score
0001.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0001.jpg,True,س ط ن٧١٢٦,333,371,445,430,results\plates\plate_0001.jpg,1.53,1.0
0002.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0002.jpg,True,ط ب ج٣٩٤٥,252,369,372,417,results\plates\plate_0002.jpg,1.15,1.0
0003.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0003.jpg,True,و ط ن١,181,462,288,509,results\plates\plate_0003.jpg,1.46,1.0
0004.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0004.jpg,True,ص س٦٧٤٣,302,499,392,535,results\plates\plate_0004.jpg,1.05,1.0
0005.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0005.jpg,True,ط س م٨٤٣٢,439,537,601,616,results\plates\plate_0005.jpg,0.91,1.0
0006.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0006.jpg,True,ط س م٨٤٣٢,436,351,570,423,results\plates\plate_0006.jpg,0.91,1.0
0007.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0007.jpg,True,ع م أ٥٣٨٢,421,569,530,622,results\plates\plate_0007.jpg,0.91,1.0
0008.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0008.jpg,True,د م ه٩٣٥,178,512,247,546,results\plates\plate_0008.jpg,0.83,1.0
0009.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0009.jpg,True,ف و٧٥٧١,74,277,142,310,results\plates\plate_0009.jpg,0.80,1.0
0010.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0010.jpg,True,ن ق ق٧٤٨,137,474,223,518,results\plates\plate_0010.jpg,0.83,1.0
0011.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0011.jpg,True,أ ن ع٨١٩,280,468,414,547,results\plates\plate_0011.jpg,0.93,1.0
0012.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0012.jpg,True,م ن ر٦٢٥٤,178,552,272,599,results\plates\plate_0012.jpg,1.00,1.0
0013.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0013.jpg,True,ه أ ق٤٧٦,316,462,429,520,results\plates\plate_0013.jpg,1.11,1.0
0014.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0014.jpg,True,ر و ي٤٨٥١,171,470,296,530,results\plates\plate_0014.jpg,1.01,1.0
0015.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0015.jpg,True,ر و ي٤٨٥١,237,575,349,629,results\plates\plate_0015.jpg,0.84,1.0
0016.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0016.jpg,True,س و و٥٤٩٨,394,481,537,551,results\plates\plate_0016.jpg,1.06,1.0
