Image_Name,Image_Path,Plate_Detected,Detected_Text,x1,y1,x2,y2,Processed_Image_Path,Processing_Time,Confidence_Score
0001.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0001.jpg,False,,333,371,445,430,N/A,6.10,0.0
0002.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0002.jpg,False,,252,369,372,417,N/A,0.22,0.0
0003.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0003.jpg,False,,181,462,288,509,N/A,0.16,0.0
0004.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0004.jpg,False,,302,499,392,535,N/A,0.14,0.0
0005.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0005.jpg,False,,439,537,601,616,N/A,0.11,0.0
0006.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0006.jpg,False,,436,351,570,423,N/A,0.12,0.0
0007.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0007.jpg,False,,421,569,530,622,N/A,0.17,0.0
0008.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0008.jpg,False,,178,512,247,546,N/A,0.15,0.0
0009.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0009.jpg,False,,74,277,142,310,N/A,0.07,0.0
0010.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0010.jpg,False,,137,474,223,518,N/A,0.10,0.0
0011.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0011.jpg,False,,280,468,414,547,N/A,0.11,0.0
0012.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0012.jpg,False,,178,552,272,599,N/A,0.08,0.0
0013.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0013.jpg,False,,316,462,429,520,N/A,0.12,0.0
0014.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0014.jpg,False,,171,470,296,530,N/A,0.09,0.0
0015.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0015.jpg,False,,237,575,349,629,N/A,0.10,0.0
0016.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0016.jpg,False,,394,481,537,551,N/A,0.12,0.0
0017.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0017.jpg,False,,312,676,448,745,N/A,0.11,0.0
0018.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0018.jpg,False,,160,489,247,532,N/A,0.08,0.0
0019.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0019.jpg,False,,170,449,253,492,N/A,0.08,0.0
0020.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0020.jpg,False,,397,373,504,426,N/A,0.10,0.0
0021.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0021.jpg,False,,408,537,532,598,N/A,0.13,0.0
0022.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0022.jpg,False,,328,659,441,719,N/A,0.12,0.0
0023.jpg,D:\GP\EALPR Vechicles dataset\Vehicles\0023.jpg,False,,307,596,430,659,N/A,0.12,0.0
