epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.946,1.47855,2.13807,1.42984,0.80263,0.83618,0.88643,0.49321,1.64708,0.88516,1.595,7.88466e-05,7.88466e-05,7.88466e-05
2,490.568,1.16436,0.83742,1.21979,0.9259,0.91957,0.9625,0.58615,1.43149,0.67942,1.43581,0.00015035,0.00015035,0.00015035
3,734.637,1.07432,0.70167,1.17457,0.92096,0.90789,0.95938,0.5617,1.49124,0.68117,1.47745,0.000213999,0.000213999,0.000213999
4,977.009,1.00545,0.63642,1.14411,0.95284,0.94424,0.9765,0.61032,1.38007,0.57317,1.45663,0.000202657,0.000202657,0.000202657
5,1220.88,0.9256,0.57936,1.10519,0.95018,0.96422,0.98232,0.63117,1.36187,0.53836,1.44292,0.000190876,0.000190876,0.000190876
6,1463.43,0.86252,0.53104,1.07619,0.95895,0.97449,0.9845,0.62683,1.37157,0.52591,1.44806,0.000179095,0.000179095,0.000179095
7,1707.12,0.80312,0.4988,1.05447,0.96472,0.96795,0.98076,0.63811,1.36256,0.51999,1.4613,0.000167314,0.000167314,0.000167314
8,1949.77,0.76918,0.46468,1.03743,0.97158,0.97501,0.98494,0.6424,1.35761,0.49616,1.47173,0.000155533,0.000155533,0.000155533
9,2193.54,0.72465,0.44047,1.01836,0.97239,0.97554,0.98322,0.65147,1.31935,0.48945,1.46446,0.000143752,0.000143752,0.000143752
10,2435.82,0.68119,0.41751,1.0033,0.97411,0.97603,0.98443,0.64591,1.32842,0.48517,1.45452,0.000131971,0.000131971,0.000131971
11,2680.59,1.27073,0.529,1.37456,0.97976,0.97994,0.98579,0.65112,1.30849,0.47375,1.37827,0.00012019,0.00012019,0.00012019
12,2922.37,1.2338,0.49289,1.34371,0.97656,0.98088,0.98391,0.65443,1.29477,0.47657,1.38621,0.000108409,0.000108409,0.000108409
13,3165.8,1.21637,0.47431,1.33593,0.97494,0.98506,0.98853,0.65701,1.2885,0.4462,1.36897,9.6628e-05,9.6628e-05,9.6628e-05
14,3407.37,1.18925,0.4557,1.31927,0.97747,0.98705,0.98724,0.66188,1.30636,0.44112,1.3928,8.4847e-05,8.4847e-05,8.4847e-05
15,3650.55,1.16395,0.44027,1.30654,0.97814,0.98654,0.98781,0.66505,1.28332,0.43082,1.37808,7.3066e-05,7.3066e-05,7.3066e-05
16,3892.25,1.14163,0.42384,1.29137,0.98201,0.98818,0.98802,0.66701,1.28663,0.42915,1.37121,6.1285e-05,6.1285e-05,6.1285e-05
17,4135.12,1.11591,0.41335,1.27511,0.98095,0.98716,0.98696,0.66753,1.29048,0.41848,1.39622,4.9504e-05,4.9504e-05,4.9504e-05
18,4376.97,1.09051,0.39917,1.25959,0.97857,0.98832,0.98862,0.67009,1.28562,0.4154,1.3941,3.7723e-05,3.7723e-05,3.7723e-05
19,4620.32,1.06459,0.38907,1.24716,0.97972,0.98646,0.9889,0.67187,1.2892,0.41166,1.3933,2.5942e-05,2.5942e-05,2.5942e-05
20,4862.3,1.03663,0.3776,1.22513,0.98186,0.98763,0.98868,0.66782,1.29755,0.41329,1.40255,1.4161e-05,1.4161e-05,1.4161e-05
