epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.91,0.66334,1.20376,0.91786,0.0489,0.0312,0.01606,0.01141,nan,nan,nan,0.00065625,0.00065625,0.00065625
2,235.762,0.68488,0.55657,0.90307,0.00517,0.0072,0.00133,0.00062,nan,nan,nan,0.00125743,0.00125743,0.00125743
3,355.29,0.69352,0.53188,0.90665,0.21498,0.84013,0.21154,0.16577,0.80911,7.84263,1.0363,0.00179261,0.00179261,0.00179261
4,473.632,0.65168,0.50025,0.88937,0.93953,0.85262,0.91747,0.72312,0.77889,1.56238,0.96758,0.001703,0.001703,0.001703
5,591.373,0.6206,0.4649,0.88381,0.9767,0.96399,0.98798,0.84397,0.60969,0.5341,0.88852,0.001604,0.001604,0.001604
6,709.505,0.57868,0.42899,0.86977,0.96839,0.95391,0.98236,0.83149,0.60589,1.07279,0.87941,0.001505,0.001505,0.001505
7,827.236,0.5498,0.39639,0.86055,0.98976,0.97489,0.99366,0.86384,0.56684,0.36212,0.85833,0.001406,0.001406,0.001406
8,945.275,0.52333,0.3699,0.85471,0.99068,0.96905,0.99359,0.87686,0.51991,0.34173,0.84618,0.001307,0.001307,0.001307
9,1063.2,0.50328,0.36039,0.85028,0.97422,0.97168,0.99098,0.86401,0.54506,0.37891,0.85044,0.001208,0.001208,0.001208
10,1180.74,0.48821,0.33924,0.84927,0.99194,0.97648,0.994,0.88151,0.51018,0.31499,0.84647,0.001109,0.001109,0.001109
11,1301.83,0.55742,0.34448,0.86447,0.97718,0.9867,0.9941,0.87284,0.54429,0.32794,0.85245,0.00101,0.00101,0.00101
12,1420.05,0.56535,0.3499,0.866,0.97862,0.98176,0.99293,0.86341,0.54554,0.41057,0.84929,0.000911,0.000911,0.000911
13,1537.72,0.5486,0.33124,0.84953,0.99085,0.98752,0.99465,0.8862,0.49778,0.30127,0.8362,0.000812,0.000812,0.000812
14,1655.7,0.52092,0.309,0.84578,0.98972,0.98704,0.99454,0.89249,0.4865,0.28678,0.83468,0.000713,0.000713,0.000713
15,1773.7,0.50796,0.29519,0.83928,0.98753,0.99088,0.99438,0.89159,0.48649,0.28084,0.83464,0.000614,0.000614,0.000614
16,1891.64,0.50001,0.28482,0.83927,0.99373,0.98855,0.99467,0.9065,0.46647,0.25973,0.82699,0.000515,0.000515,0.000515
17,2009.36,0.48367,0.27426,0.84583,0.99564,0.98679,0.9948,0.90574,0.46405,0.25104,0.83069,0.000416,0.000416,0.000416
18,2126.46,0.47554,0.26386,0.82737,0.99341,0.98944,0.99484,0.91256,0.44215,0.24234,0.82324,0.000317,0.000317,0.000317
19,2244.27,0.45697,0.25115,0.82746,0.99375,0.99248,0.99488,0.90513,0.4529,0.23494,0.8273,0.000218,0.000218,0.000218
20,2361.68,0.4493,0.2414,0.83308,0.99566,0.99092,0.99486,0.91986,0.41971,0.21884,0.8191,0.000119,0.000119,0.000119
