epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.13,0.60711,1.19694,0.94967,0.43064,0.25684,0.20551,0.15165,1.13364,3.01168,1.59105,0.00065625,0.00065625,0.00065625
2,244.077,0.62453,0.49081,0.94881,0.17607,0.53132,0.13317,0.09056,1.25664,8.54598,1.57979,0.00125743,0.00125743,0.00125743
3,364.27,0.61811,0.46351,0.94375,0.1988,0.13202,0.04486,0.03334,1.93211,4.21598,2.10358,0.00179261,0.00179261,0.00179261
4,484.53,0.61929,0.43544,0.94683,0.97303,0.90063,0.93938,0.7909,0.64656,0.55079,1.04053,0.001703,0.001703,0.001703
5,604.887,0.56163,0.40599,0.92299,0.94397,0.90583,0.95391,0.7968,0.64737,0.86261,1.03117,0.001604,0.001604,0.001604
6,725.078,0.55022,0.38021,0.915,0.98172,0.96831,0.98769,0.82426,0.65857,0.40554,1.02828,0.001505,0.001505,0.001505
7,845.133,0.53872,0.34723,0.91134,0.95383,0.95535,0.98195,0.83487,0.59109,0.4154,0.9803,0.001406,0.001406,0.001406
8,965.521,0.50088,0.33383,0.89785,0.98554,0.98192,0.99336,0.8698,0.53497,0.33408,0.94439,0.001307,0.001307,0.001307
9,1085.84,0.4761,0.31233,0.88799,0.97671,0.96639,0.99199,0.87098,0.52595,0.40397,0.94185,0.001208,0.001208,0.001208
10,1205.97,0.46638,0.30639,0.88613,0.98984,0.98258,0.99403,0.88265,0.51035,0.30373,0.9301,0.001109,0.001109,0.001109
11,1328.67,0.54519,0.33053,0.93029,0.98867,0.98224,0.99429,0.865,0.54726,0.3409,0.95695,0.00101,0.00101,0.00101
12,1448.91,0.53638,0.32517,0.92703,0.98898,0.9832,0.99438,0.87901,0.5054,0.30774,0.93006,0.000911,0.000911,0.000911
13,1568.88,0.52231,0.30805,0.91222,0.98897,0.97504,0.99407,0.88492,0.49665,0.30963,0.92291,0.000812,0.000812,0.000812
14,1688.99,0.50517,0.29639,0.90545,0.9923,0.98955,0.99467,0.89721,0.47157,0.27282,0.90656,0.000713,0.000713,0.000713
15,1809.25,0.49331,0.28252,0.9012,0.99236,0.99232,0.99442,0.90427,0.45453,0.25681,0.8985,0.000614,0.000614,0.000614
16,1929.16,0.48315,0.27379,0.90014,0.99121,0.99328,0.99452,0.90488,0.44887,0.24949,0.89434,0.000515,0.000515,0.000515
17,2049.07,0.46817,0.26064,0.89267,0.99324,0.98758,0.99461,0.90975,0.44041,0.23823,0.88882,0.000416,0.000416,0.000416
18,2169.11,0.4549,0.24425,0.88466,0.99044,0.99425,0.99476,0.91604,0.43035,0.2311,0.88515,0.000317,0.000317,0.000317
19,2289.09,0.44802,0.23592,0.88132,0.9958,0.99376,0.99455,0.90764,0.436,0.22966,0.88956,0.000218,0.000218,0.000218
20,2408.96,0.43746,0.22637,0.87628,0.99565,0.99136,0.99463,0.91827,0.40978,0.20757,0.87496,0.000119,0.000119,0.000119
